PtsScored,QB_RTG,Avg_Pts_G,Pass_Yds,Pass_TD,Pass_Int,Rsh_Yds_Gm,Rec_Avg,Rec_Yds_Gm,Tot_FUM,Def_Pts_G,Def_Plys,Def_Yards_Play,Def_Pen_Yds,Def_FUM,Tot_Yards_Gm,HomeAway
13,87.4,24.4,3578,28,16,109.1,11.4,237.9,10,20.7,1015,5.1,863,23,347,Away
19,90.7,26,3830,22,13,132.7,11.4,252.9,5,20,1034,4.9,779,26,385.6,Home
24,108,27.1,4049,40,8,106.4,11.6,271.4,6,21.8,1083,5.2,949,23,377.8,Home
9,76.5,22.3,4128,23,18,104.4,12.9,273.4,9,21.5,1086,5.2,929,23,377.8,Away
24,87.7,24.9,3739,22,11,118.8,12,249.8,4,24.2,995,6,1208,11,368.6,Home
24,100,25.8,3031,27,10,161.2,12.5,202.1,10,24.2,1031,5.9,811,17,363.3,Away
14,102.4,27.2,3422,24,8,169.3,12.6,229.1,17,15.3,968,5.1,902,27,398.4,Home
38,87.7,24.9,3739,22,11,118.8,12,249.8,4,18.1,1015,4.6,951,23,368.6,Away
35,105.8,30.1,4534,37,11,114.5,11.6,291.9,12,21.5,1086,5.2,929,23,406.4,Home
31,108,27.1,4049,40,8,106.4,11.6,271.4,6,17.1,1012,4.7,758,21,377.8,Away
45,98.3,24.8,3298,23,8,155.7,12.3,221.9,16,21,1033,5.2,1055,18,377.6,Home
28,100,25.8,3031,27,10,161.2,12.5,202.1,10,18.7,991,5.9,641,16,363.3,Away
30,99.1,26.2,4509,32,14,87.3,11.2,294.9,7,15.3,968,5.1,902,27,382.2,Home
28,90.7,26,3830,22,13,132.7,11.4,252.9,5,20.7,1046,5.7,932,42,385.6,Away
41,98.7,34.8,4662,34,9,136.5,12,302.8,11,20.7,1015,5.1,863,23,439.3,Home
28,98.3,24.8,3298,23,8,155.7,12.3,221.9,16,18.7,991,5.9,641,16,377.6,Away
24,99.1,26.2,4509,32,14,87.3,11.2,294.9,7,17.1,1012,4.7,758,21,382.2,Home
28,87.7,24.9,3739,22,11,118.8,12,249.8,4,20.7,1046,5.7,932,42,368.6,Home
13,98.7,34.8,4662,34,9,136.5,12,302.8,11,21.5,1086,5.2,929,23,439.3,Away
10,80.4,21.5,3340,21,14,111.1,11.4,219.2,9,17.4,960,4.8,686,18,330.3,Away
31,80.7,23.8,3506,20,9,153,12.8,231,11,20.2,1009,5,878,26,384,Home
28,97.2,29.6,4814,41,16,95.2,12,316.9,10,21.2,1010,5.8,912,20,412.1,Away
45,110.6,34.2,5347,46,14,132.9,11.7,344.1,6,24.2,1055,5.6,982,25,477,Home
2,92.2,25.1,4192,29,13,114.6,12,272.8,6,25,1072,5.6,933,21,387.4,Away
24,92.9,24.6,4734,29,16,89.2,13.7,308.3,8,21.9,965,5.5,843,19,397.5,Home
23,90.1,20.3,4054,21,15,118.9,12.7,270.8,9,24.4,1063,5.4,845,19,389.7,Away
29,72.9,19.3,2434,20,13,164.5,12.5,169.2,17,14.2,964,4.5,777,13,333.7,Home
32,110.6,34.2,5347,46,14,132.9,11.7,344.1,6,14.3,974,5.1,867,31,477,Away
32,90.7,23.8,2930,18,5,127.8,11.5,199.6,8,21.2,1010,5.8,912,20,327.4,Home
10,72.9,19.3,2434,20,13,164.5,12.5,169.2,17,21.4,1064,6.2,907,21,333.7,Away
45,105.6,32.1,5084,39,12,110.2,13.1,328.6,4,24.4,1063,5.4,845,19,438.8,Home
13,80.7,23.8,3506,20,9,153,12.8,231,11,16.6,1002,4.6,1032,27,384,Away
20,80.9,23.6,3423,21,12,124.8,11.6,226.8,7,17.4,960,4.8,686,18,351.6,Home
37,92.9,24.6,4734,29,16,89.2,13.7,308.3,8,22.4,1049,6.3,948,19,397.5,Away
20,122.5,35,4924,51,8,97.4,13.7,322.6,5,25,1072,5.6,933,21,420,Home
17,75.3,22.9,3242,20,14,148.4,12,213.8,14,24.2,1010,5.4,812,24,362.2,Away
16,91.9,27.2,4609,33,17,92.7,10.4,293.8,8,19,979,4.8,679,25,386.5,Home
30,93.6,22.3,3335,25,10,114.4,12,226.8,9,20.4,1028,5.1,922,23,341.2,Away
7,93,22.9,2968,27,8,164.2,12,199.3,9,16.9,1007,5.1,984,25,363.5,Home
31,97,23.4,3601,22,9,120.2,13,243.1,12,16.9,1007,5.1,984,25,363.3,Home
24,93.6,22.3,3335,25,10,114.4,12,226.8,9,14.5,974,4.5,716,28,341.2,Away
28,75.3,22.9,3242,20,14,148.4,12,213.8,14,19.6,1056,5.6,687,20,362.2,Away
21,111,32.4,3847,37,5,123.3,12,251.4,4,19,979,4.8,679,25,374.7,Home
24,97,23.4,3601,22,9,120.2,13,243.1,12,19,979,4.8,679,25,363.3,Home
19,75.3,22.9,3242,20,14,148.4,12,213.8,14,14.5,974,4.5,716,28,362.2,Away
41,73.2,19.4,3341,14,20,89,11,221,6,19.2,948,5.2,701,34,310,Home
36,90.9,24,4441,33,22,94.9,10,289.8,9,25.4,1074,5.5,706,22,384.7,Away
21,101.2,24.2,4124,31,13,100.4,12,272.2,13,23.6,998,5.2,724,18,372.6,Away
16,100.2,27.4,3906,28,13,145.2,12,263.4,13,15,969,5.1,758,22,408.6,Home
48,101.2,24.2,4124,31,13,100.4,12,272.2,13,18,957,5.6,1003,23,372.6,Away
21,91,25.9,3567,28,9,118.2,10,232.8,7,15,969,5.1,758,22,351,Home
35,86.3,20.9,3015,23,21,101,12,212.3,8,25.4,1074,5.5,706,22,313.3,Home
24,73.2,19.4,3341,14,20,89,11,221,6,17.9,1002,5,790,37,310,Away
21,101.2,20.9,3015,23,21,100.4,12,272.2,13,17.9,1002,5,790,37,372.6,Away
14,94.3,20.9,3015,23,21,101,12,212.3,8,15,969,5.1,758,22,313.3,Home
24,63,21.8,2380,12,21,172.2,12.4,162.2,12,18.2,980,4.9,767,17,334.4,Away
14,83.6,19.1,2890,21,13,128.5,11,195.9,15,14.8,953,4.2,680,22,324.4,Home
34,97.6,22.6,4287,26,9,131.4,12.9,280.2,9,21.1,1037,5,789,25,411.6,Home
14,92.9,26.8,4089,27,13,102.3,13.1,273.8,10,15.6,979,5.2,768,23,376.1,Away
33,88.9,24.4,3419,21,13,137.5,11.3,227.3,8,17.8,941,5.4,780,28,364.8,Away
14,96.2,26.7,4436,28,13,120.1,11.6,283.8,11,16.3,991,4.9,741,20,403.9,Home
51,93.2,23.4,4016,27,18,93.4,10.7,262.5,17,18.6,948,4.8,914,24,355.9,Home
45,103.2,28.8,4180,30,8,117.8,12.6,280.8,7,20.3,1038,5.3,840,20,398.6,Away
45,109.6,31.9,4355,34,12,131.6,11.9,280.6,11,20.3,1038,5.3,840,20,412.2,Home
14,93.2,23.4,4016,27,18,93.4,10.7,262.5,17,21.3,1044,5.5,717,18,355.9,Away
20,99.9,26,4515,34,19,80.9,11.5,287.8,7,16.3,991,4.9,741,20,368.7,Home
3,88.9,24.4,3419,21,13,137.5,11.3,227.3,8,19.2,1084,5,889,20,364.8,Away
